 ,XM,YM
1,467.315,316.787
2,538.607,317.220
3,333.290,318.066
4,400.307,318.664
5,606.680,318.325
6,66.338,319.933
7,129.555,319.258
8,266.542,319.782
9,191.163,320.136
10,1150.487,320.972
11,1299.227,322.176
12,812.428,323.287
13,883.391,323.170
14,739.674,323.688
15,954.366,324.841
16,1016.140,326.012
17,1360.007,327.128
18,2111.914,328.154
19,676.567,328.211
20,1708.451,329.012
21,1083.835,329.055
22,1224.315,329.395
23,1435.281,329.095
24,1499.557,329.211
25,2185.958,330.624
26,1639.020,331.236
27,2251.811,331.640
28,1983.271,332.939
29,2047.449,332.991
30,1570.706,333.874
31,1911.769,334.049
32,2455.565,334.208
33,2377.993,335.862
34,1776.645,336.210
35,2525.728,337.669
36,1846.013,337.613
37,2324.108,337.696
38,404.727,802.361
39,469.706,804.336
40,267.629,806.099
41,45.445,806.093
42,195.307,806.256
43,329.953,806.610
44,131.529,806.938
45,537.478,808.006
46,1013.105,809.259
47,794.389,810.934
48,1290.955,811.760
49,1217.362,813.300
50,1558.478,813.201
51,604.840,813.505
52,1079.279,813.921
53,2208.477,815.362
54,674.635,815.081
55,874.327,814.796
56,1149.504,815.526
57,1425.933,815.037
58,742.922,816.128
59,932.750,817.252
60,1358.376,817.050
61,1491.221,817.015
62,1766.795,816.942
63,1898.905,816.993
64,1965.588,817.778
65,1696.455,817.864
66,1833.283,818.144
67,2376.544,817.323
68,2029.864,820.086
69,2103.849,821.127
70,1629.339,822.707
71,2501.164,821.664
72,2165.451,824.048
73,2430.218,823.566
74,2300.090,824.655
75,43.608,1276.389
76,103.424,1279.299
77,443.117,1278.717
78,310.695,1278.891
79,243.599,1280.455
80,647.738,1281.942
81,177.353,1283.809
82,986.071,1283.813
83,364.563,1285.386
84,576.148,1285.103
85,1530.414,1284.633
86,2047.778,1284.332
87,917.185,1286.639
88,716.518,1287.900
89,1321.864,1287.799
90,1456.100,1287.768
91,1595.831,1288.202
92,850.749,1288.989
93,1119.336,1288.752
94,512.057,1289.554
95,2395.495,1289.549
96,769.586,1290.413
97,1388.705,1292.435
98,2196.210,1291.806
99,1050.660,1293.692
100,1187.523,1292.572
101,1255.447,1293.169
102,1727.183,1292.717
103,2461.847,1293.518
104,1655.499,1293.686
105,1795.403,1294.334
106,1995.984,1294.197
107,2324.328,1293.336
108,2527.435,1296.230
109,1860.288,1296.722
110,2126.287,1296.836
111,1933.710,1298.828
112,2258.042,1298.500
