 ,StdDev1,StdDev2,StdDev3,StdDev4,StdDev5,StdDev6,StdDev7,StdDev8,StdDev9,StdDev10,StdDev11,StdDev12,StdDev13,StdDev14,StdDev15,StdDev16,StdDev17,StdDev18,StdDev19,StdDev20,StdDev21,StdDev22,StdDev23,StdDev24,StdDev25,StdDev26,StdDev27,StdDev28,StdDev29,StdDev30,StdDev31,StdDev32,StdDev33,StdDev34,StdDev35,StdDev36,StdDev37,StdDev38,StdDev39,StdDev40,StdDev41,StdDev42,StdDev43,StdDev44,StdDev45,StdDev46,StdDev47,StdDev48,StdDev49,StdDev50,StdDev51,StdDev52,StdDev53,StdDev54,StdDev55,StdDev56,StdDev57,StdDev58,StdDev59,StdDev60,StdDev61,StdDev62,StdDev63,StdDev64,StdDev65,StdDev66,StdDev67,StdDev68,StdDev69,StdDev70,StdDev71,StdDev72,StdDev73,StdDev74,StdDev75,StdDev76,StdDev77,StdDev78,StdDev79,StdDev80,StdDev81,StdDev82,StdDev83,StdDev84,StdDev85,StdDev86,StdDev87,StdDev88,StdDev89,StdDev90,StdDev91,StdDev92,StdDev93,StdDev94,StdDev95,StdDev96,StdDev97,StdDev98,StdDev99,StdDev100,StdDev101,StdDev102,StdDev103,StdDev104,StdDev105,StdDev106,StdDev107,StdDev108,StdDev109,StdDev110,StdDev111,StdDev112,StdDev113,StdDev114,StdDev115,StdDev116,StdDev117,StdDev118,StdDev119,StdDev120,StdDev121,StdDev122,StdDev123,StdDev124,StdDev125,StdDev126,StdDev127,StdDev128,StdDev129,StdDev130,StdDev131,StdDev132,StdDev133,StdDev134,StdDev135,StdDev136
1,2414.163,1494.044,1622.959,1251.743,1680.792,1651.355,1225.166,1381.432,1468.315,1213.351,1826.927,2137.654,1296.908,1206.091,1293.629,1493.607,1777.372,2218.604,2168.230,2197.667,2133.535,1176.165,2141.232,1564.636,1378.834,1760.342,1612.666,1345.389,1174.489,1262.872,1630.231,1533.658,1640.872,1553.161,1438.546,1343.468,1560.805,1241.272,2151.667,1330.866,1709.569,2145.902,1562.412,1527.727,1440.715,1486.449,2263.187,1198.442,1651.839,2134.479,1331.876,1274.212,1464.058,1810.824,1630.267,1466.606,1284.200,1393.882,1421.210,2115.475,1346.252,2093.075,1240.573,1616.748,1565.411,1651.616,1317.673,2453.967,2389.902,1432.963,1748.097,1605.542,1538.291,2174.995,1385.770,2175.291,1230.049,1377.134,1864.305,1722.748,1522.594,1368.461,1309.176,2013.156,1293.818,1743.007,1413.195,1216.994,1926.396,1262.020,2376.990,1617.487,2078.070,1335.873,1741.948,1579.406,1677.501,1277.837,1498.881,2065.572,2472.650,1678.833,1656.438,1534.006,1376.921,1573.835,2409.537,1345.441,2025.740,1015.663,1467.203,2003.938,1846.728,1295.248,2135.147,1254.890,1238.023,1205.396,1985.328,1785.660,2001.769,1860.090,2095.708,1305.399,1137.019,1963.369,1287.142,1354.220,1235.603,2132.945,1415.348,1720.863,1699.030,1326.025,1463.319,1976.515
2,2424.629,1516.230,1630.029,1234.744,1687.790,1672.326,1220.417,1372.955,1478.606,1235.524,1825.827,2125.200,1302.484,1204.600,1296.597,1480.014,1762.780,2234.372,2176.546,2190.801,2116.667,1189.253,2143.012,1566.097,1389.716,1781.855,1611.276,1327.824,1179.540,1263.803,1621.897,1543.685,1640.183,1565.051,1407.333,1339.014,1548.354,1233.508,2139.354,1320.805,1706.381,2135.797,1574.882,1525.854,1445.031,1512.788,2265.239,1208.548,1642.995,2156.724,1338.174,1266.678,1479.861,1827.667,1640.360,1482.476,1272.754,1381.025,1436.478,2138.080,1351.368,2111.247,1249.588,1606.136,1564.418,1638.438,1318.359,2456.082,2377.966,1442.254,1752.445,1588.398,1529.093,2170.400,1385.075,2176.473,1223.908,1347.274,1877.638,1723.756,1482.356,1374.392,1314.576,2014.586,1292.381,1730.690,1396.819,1213.715,1941.077,1274.715,2379.533,1626.631,2073.921,1324.675,1762.921,1577.491,1683.409,1262.783,1508.157,2062.684,2457.727,1700.242,1663.136,1526.021,1377.313,1557.648,2408.958,1343.819,2017.840,1004.092,1466.179,2025.638,1847.485,1289.730,2146.236,1243.205,1254.349,1201.131,1973.755,1771.157,1989.791,1852.403,2100.847,1305.074,1134.241,1985.919,1305.938,1353.619,1248.855,2096.739,1416.439,1725.011,1701.061,1316.579,1449.345,1975.492
3,2413.444,1509.653,1620.013,1240.696,1658.967,1662.515,1233.596,1391.420,1484.491,1227.206,1820.814,2133.394,1318.438,1201.595,1300.186,1480.854,1760.140,2228.152,2173.885,2199.585,2124.873,1187.079,2162.290,1564.821,1389.546,1774.228,1606.316,1340.552,1160.977,1240.206,1629.448,1551.843,1651.344,1575.731,1443.659,1340.254,1546.330,1236.330,2149.278,1333.084,1689.152,2132.507,1564.897,1524.354,1437.649,1487.113,2264.179,1208.815,1662.040,2140.317,1304.248,1285.491,1459.911,1822.233,1650.497,1478.580,1278.673,1391.530,1427.770,2118.074,1344.754,2100.386,1245.561,1613.033,1584.089,1649.609,1339.628,2442.675,2384.654,1446.619,1753.933,1588.709,1521.129,2157.204,1377.444,2163.151,1237.195,1360.202,1859.607,1737.482,1496.992,1371.218,1311.796,1998.364,1309.399,1726.506,1408.491,1216.294,1906.333,1272.515,2377.398,1622.513,2060.251,1341.329,1753.591,1593.107,1683.473,1268.624,1498.359,2068.637,2478.201,1672.960,1651.518,1535.468,1378.630,1548.448,2386.881,1355.419,2028.519,1008.511,1447.037,2013.666,1854.533,1290.284,2156.874,1241.212,1232.452,1189.146,1981.198,1777.322,1992.552,1860.269,2097.458,1312.817,1101.294,1976.484,1295.911,1331.525,1234.784,2125.670,1417.946,1704.690,1709.094,1323.225,1451.785,1975.470
4,2417.357,1510.687,1633.888,1250.045,1680.554,1657.901,1220.661,1377.546,1484.976,1228.040,1831.510,2129.770,1298.273,1216.975,1309.255,1489.093,1764.879,2223.483,2178.125,2196.793,2135.160,1198.728,2141.617,1554.535,1383.910,1758.782,1593.506,1323.632,1177.662,1248.505,1615.391,1544.524,1650.344,1565.627,1436.852,1327.577,1551.385,1244.661,2144.308,1305.742,1690.926,2131.772,1578.203,1521.894,1431.721,1488.045,2263.308,1205.178,1652.603,2146.185,1339.704,1300.095,1463.677,1813.871,1646.510,1480.394,1259.147,1399.049,1423.111,2112.792,1343.193,2087.730,1260.916,1597.060,1567.034,1654.918,1343.545,2465.738,2404.802,1428.515,1747.793,1583.241,1533.017,2157.589,1394.936,2173.563,1223.985,1356.361,1856.492,1706.367,1501.737,1367.739,1318.276,1986.881,1318.690,1741.507,1412.901,1192.772,1908.372,1268.319,2376.059,1616.755,2068.495,1333.802,1750.642,1594.453,1683.348,1267.453,1499.761,2066.621,2458.451,1683.380,1666.437,1538.963,1370.110,1532.066,2402.021,1353.114,2015.740,999.040,1472.314,2004.281,1843.343,1279.486,2120.046,1255.050,1232.652,1198.298,1957.288,1787.062,1984.322,1863.612,2107.321,1293.795,1116.397,1973.749,1290.250,1340.620,1226.304,2096.765,1403.814,1724.944,1678.789,1340.223,1460.435,1967.844
5,2406.473,1502.287,1627.212,1256.709,1665.937,1680.889,1222.309,1383.664,1467.791,1223.488,1823.344,2126.511,1308.751,1212.621,1306.774,1489.138,1746.612,2234.852,2169.739,2201.612,2127.979,1186.116,2144.625,1551.365,1390.757,1781.200,1608.660,1326.200,1187.193,1265.488,1631.598,1554.350,1647.967,1548.625,1410.235,1313.944,1541.358,1237.202,2122.649,1302.505,1695.663,2126.989,1559.988,1523.373,1430.086,1471.946,2262.055,1198.047,1659.031,2157.225,1330.230,1296.935,1450.331,1819.419,1638.681,1494.879,1261.499,1401.669,1437.660,2116.606,1361.067,2113.992,1252.459,1625.369,1577.195,1635.255,1331.679,2458.727,2402.043,1448.031,1759.705,1585.787,1522.429,2157.143,1397.844,2190.234,1221.353,1364.945,1877.723,1690.919,1519.066,1355.843,1317.212,2008.740,1291.728,1723.102,1401.756,1208.361,1909.081,1255.341,2377.284,1626.846,2063.340,1337.802,1751.336,1569.270,1695.703,1274.307,1485.623,2057.417,2449.017,1680.723,1660.408,1528.882,1369.995,1549.567,2401.176,1364.599,2000.776,1013.717,1468.981,2015.834,1850.471,1274.853,2121.866,1264.323,1238.939,1183.912,1976.630,1781.524,1982.960,1848.192,2111.911,1305.127,1130.870,1979.216,1280.769,1346.854,1231.568,2093.688,1409.984,1719.960,1707.649,1323.830,1444.413,1955.331
6,2412.736,1500.221,1631.582,1238.822,1675.563,1662.579,1232.148,1379.215,1464.693,1236.076,1817.260,2096.201,1308.429,1201.697,1302.512,1480.270,1756.107,2233.779,2158.172,2181.624,2130.417,1193.234,2159.570,1552.370,1377.703,1775.698,1594.766,1344.487,1183.381,1251.880,1618.366,1538.423,1637.592,1555.652,1425.162,1328.915,1561.256,1228.981,2143.000,1328.205,1681.995,2134.939,1551.090,1526.304,1436.633,1485.797,2282.322,1203.031,1660.259,2142.007,1323.354,1276.464,1466.943,1810.917,1671.419,1483.570,1269.131,1408.599,1432.515,2140.265,1350.945,2097.635,1254.365,1595.529,1582.064,1660.922,1335.840,2454.735,2403.977,1448.193,1760.047,1577.681,1542.371,2166.163,1394.164,2185.112,1226.888,1367.566,1867.741,1713.046,1503.319,1369.082,1319.179,1999.820,1312.501,1740.505,1409.156,1209.823,1924.462,1265.755,2380.104,1615.599,2080.492,1330.961,1738.389,1573.099,1680.569,1264.206,1507.791,2072.415,2465.604,1678.392,1671.902,1532.705,1372.669,1546.488,2376.966,1359.732,2027.404,1006.414,1452.644,2010.768,1848.414,1289.919,2149.472,1250.413,1242.093,1202.752,1977.053,1781.752,1994.854,1876.472,2095.392,1294.601,1127.669,1982.751,1293.622,1338.179,1253.259,2132.401,1408.327,1719.120,1699.200,1324.414,1452.270,1969.787
7,2414.857,1512.557,1630.173,1220.257,1665.800,1661.568,1220.086,1388.909,1475.638,1219.815,1833.476,2132.809,1300.555,1217.020,1302.503,1498.464,1741.126,2211.843,2176.064,2196.236,2128.414,1181.664,2133.575,1554.100,1385.544,1766.643,1588.568,1342.185,1186.128,1268.366,1625.908,1537.597,1642.258,1561.639,1407.763,1345.036,1533.815,1241.352,2137.796,1320.222,1680.563,2143.207,1562.077,1497.536,1430.318,1466.946,2277.809,1199.930,1637.924,2154.619,1329.060,1284.068,1461.542,1798.554,1646.264,1485.090,1281.611,1402.958,1421.400,2129.482,1360.153,2091.395,1267.566,1591.500,1583.377,1667.520,1332.269,2464.022,2387.631,1416.501,1757.018,1575.354,1532.160,2180.711,1397.225,2195.442,1233.285,1358.964,1911.581,1709.452,1494.668,1362.620,1320.826,2004.709,1302.942,1720.374,1419.246,1213.403,1921.362,1269.193,2383.710,1615.221,2070.788,1334.933,1762.111,1569.531,1675.583,1260.251,1485.531,2074.313,2461.653,1670.643,1671.481,1535.681,1363.664,1549.301,2388.949,1369.811,2042.585,1002.344,1465.519,1997.029,1839.481,1275.692,2149.101,1265.990,1254.504,1182.272,1972.556,1773.402,1988.352,1877.415,2096.713,1310.512,1116.817,1979.314,1283.510,1347.739,1227.232,2115.897,1419.925,1723.111,1671.874,1312.764,1465.282,1972.434
8,2407.952,1474.267,1628.111,1230.297,1673.962,1664.053,1223.880,1380.977,1486.094,1229.895,1811.368,2122.374,1304.389,1214.343,1333.507,1488.041,1753.023,2213.837,2181.802,2180.798,2126.185,1187.308,2149.586,1547.258,1395.764,1771.397,1603.319,1326.558,1175.745,1261.070,1626.977,1535.628,1654.350,1557.304,1407.998,1314.559,1543.469,1261.854,2135.897,1325.224,1708.372,2123.646,1584.620,1523.010,1431.631,1491.582,2270.265,1220.968,1654.233,2161.931,1335.980,1265.440,1461.608,1818.418,1631.565,1483.116,1271.283,1383.953,1417.782,2127.077,1368.078,2096.206,1255.001,1621.415,1583.056,1662.989,1336.446,2445.986,2396.333,1430.507,1746.240,1606.529,1534.302,2163.523,1401.087,2190.360,1229.365,1364.227,1881.580,1691.100,1502.424,1356.592,1310.219,2025.250,1302.454,1730.185,1428.505,1207.610,1925.768,1253.302,2373.875,1637.925,2060.297,1345.125,1745.081,1571.172,1679.703,1280.885,1504.421,2068.661,2448.097,1690.264,1673.427,1541.288,1381.342,1546.854,2400.322,1353.894,2025.471,994.058,1450.823,2014.102,1849.462,1282.092,2134.008,1246.008,1246.413,1197.926,1977.889,1794.191,1991.608,1868.919,2103.206,1295.466,1129.321,1969.298,1283.500,1341.969,1234.247,2112.888,1405.538,1717.851,1681.891,1320.979,1460.244,1963.005
9,2402.552,1495.152,1636.584,1233.125,1654.849,1666.555,1209.200,1380.566,1456.592,1225.321,1814.521,2121.802,1291.757,1202.807,1297.670,1493.478,1743.849,2235.290,2177.248,2192.820,2118.654,1179.864,2147.910,1556.170,1395.914,1786.021,1597.264,1339.255,1179.398,1258.954,1623.355,1538.221,1651.391,1567.317,1412.521,1343.907,1544.768,1234.000,2137.575,1321.745,1702.771,2129.835,1551.218,1514.335,1427.142,1480.686,2264.317,1205.369,1647.594,2148.810,1322.281,1282.173,1455.551,1813.291,1662.683,1472.151,1286.493,1401.597,1418.788,2135.258,1341.666,2097.041,1243.236,1599.733,1592.713,1639.766,1331.610,2469.509,2378.618,1459.192,1751.363,1586.899,1529.341,2161.486,1385.678,2185.662,1232.703,1365.346,1866.471,1686.594,1494.731,1370.696,1310.254,2005.991,1309.093,1731.891,1401.540,1203.070,1915.740,1266.955,2376.784,1608.678,2061.449,1341.287,1748.116,1586.311,1675.223,1279.090,1506.819,2072.969,2439.100,1670.375,1666.142,1533.768,1348.653,1531.986,2381.990,1381.990,2020.037,1013.627,1423.085,2007.558,1845.626,1277.804,2145.782,1225.825,1235.138,1180.828,1986.736,1784.085,1976.204,1849.030,2080.945,1294.197,1129.938,1970.560,1300.202,1324.474,1247.528,2092.252,1410.240,1727.101,1701.731,1338.316,1457.928,1976.793
10,2408.053,1492.046,1620.614,1240.981,1669.867,1665.334,1236.800,1372.358,1477.403,1219.567,1823.115,2133.050,1324.392,1224.745,1322.124,1486.541,1745.183,2224.901,2176.179,2180.507,2124.268,1195.972,2150.844,1553.874,1405.463,1782.368,1604.757,1320.199,1175.313,1252.376,1627.436,1539.838,1655.381,1552.652,1434.772,1347.181,1563.214,1231.589,2118.506,1340.805,1684.163,2138.923,1568.312,1495.792,1443.307,1502.470,2248.993,1183.859,1656.924,2145.617,1330.761,1307.542,1460.953,1815.446,1657.953,1487.965,1270.958,1396.405,1413.596,2113.266,1363.163,2097.198,1243.064,1621.066,1587.178,1663.730,1340.153,2450.518,2380.013,1424.113,1751.237,1587.652,1526.441,2172.982,1387.067,2189.276,1246.532,1345.187,1869.935,1690.587,1491.302,1359.792,1304.906,1997.249,1306.692,1724.702,1405.971,1209.354,1899.904,1259.088,2375.337,1627.137,2070.027,1334.303,1733.036,1579.490,1676.948,1262.485,1495.776,2070.678,2440.416,1663.847,1661.663,1522.189,1354.823,1556.718,2387.783,1359.936,2007.440,1009.225,1453.481,2001.987,1831.343,1283.917,2123.249,1264.020,1241.212,1192.946,1984.562,1757.167,1987.952,1871.174,2103.338,1309.864,1128.725,1970.881,1271.254,1335.308,1244.634,2097.451,1395.812,1725.178,1710.445,1317.974,1446.336,1958.558
