 ,XM,YM
1,159.004,193.036
2,248.767,196.488
3,450.664,199.116
4,667.981,199.604
5,864.205,201.353
6,366.489,201.597
7,936.505,202.955
8,568.080,203.513
9,762.380,204.183
10,1061.396,211.699
11,1157.747,213.209
12,1844.497,217.179
13,1251.186,215.224
14,1364.420,219.487
15,1456.114,218.872
16,1554.652,220.622
17,1648.081,221.115
18,2040.831,224.338
19,1931.082,226.066
20,1744.897,228.654
21,2136.648,233.309
22,2238.489,234.619
23,2535.024,235.219
24,2339.780,234.289
25,2423.448,242.531
26,108.601,769.814
27,16.497,772.102
28,224.023,776.071
29,634.936,774.344
30,325.870,777.314
31,428.009,779.045
32,530.975,779.885
33,720.612,786.283
34,828.789,790.192
35,931.654,791.063
36,1025.468,791.007
37,1125.842,791.641
38,1333.734,793.124
39,1229.481,794.260
40,1426.733,795.971
41,1526.613,797.908
42,1622.215,803.788
43,1715.641,804.302
44,2000.325,805.931
45,2213.463,810.885
46,1819.478,807.481
47,2114.254,810.265
48,1915.573,810.189
49,2316.711,813.063
50,2406.006,810.708
51,2507.963,815.272
52,57.703,1283.698
53,154.082,1287.776
54,437.923,1287.287
55,342.153,1290.907
56,250.554,1290.911
57,623.913,1292.298
58,519.833,1293.008
59,719.289,1294.332
60,899.908,1293.920
61,993.989,1295.887
62,820.097,1298.265
63,1162.812,1298.361
64,1088.441,1299.598
65,1356.852,1301.131
66,1258.343,1303.681
67,1438.187,1305.303
68,1711.580,1308.619
69,1525.391,1309.164
70,1619.942,1312.627
71,1900.824,1312.795
72,1807.069,1313.381
73,1987.749,1316.657
74,2070.120,1319.878
75,2173.411,1320.434
76,2355.591,1321.095
77,2264.292,1323.169
78,2536.707,1324.645
79,2442.183,1327.702
80,68.947,1816.809
81,350.162,1822.812
82,161.593,1822.727
83,440.736,1825.081
84,258.150,1824.882
85,537.723,1827.969
86,631.287,1828.775
87,721.922,1831.368
88,906.299,1831.812
89,1093.222,1833.275
90,812.596,1834.290
91,991.349,1836.815
92,1182.783,1841.343
93,1269.676,1840.766
94,1359.464,1842.168
95,1451.442,1845.177
96,1538.631,1845.391
97,1630.796,1848.324
98,1896.962,1849.514
99,1722.969,1850.966
100,1813.768,1851.941
101,2257.162,1851.731
102,2176.212,1852.995
103,1997.314,1855.631
104,2083.984,1855.838
105,2356.736,1859.790
106,2447.065,1862.790
107,2538.489,1864.947
