 ,XM,YM
1,1291.272,1066.890
2,570.225,277.757
3,1919.803,280.179
4,2089.574,279.507
5,2146.644,279.520
6,2260.523,279.651
7,158.631,280.236
8,912.303,280.135
9,2030.634,280.508
10,2298.914,281.228
11,455.333,281.593
12,976.069,281.707
13,1086.978,281.587
14,1420.206,281.727
15,684.588,282.367
16,2421.159,282.821
17,397.560,283.429
18,1478.383,283.661
19,1254.445,284.439
20,1365.839,284.911
21,1707.140,285.173
22,1752.292,285.285
23,2374.733,284.926
24,2477.210,284.518
25,331.248,285.379
26,1026.549,285.304
27,1533.827,285.404
28,1865.782,286.127
29,2201.253,286.063
30,49.647,287.014
31,631.489,287.118
32,743.099,286.841
33,859.260,286.605
34,2535.152,289.737
35,109.293,287.720
36,224.337,287.505
37,515.611,287.309
38,1582.736,287.621
39,276.164,288.236
40,783.441,288.666
41,1305.869,290.364
42,1648.714,290.405
43,1978.504,290.819
44,1196.909,291.364
45,1803.419,293.079
46,1131.487,295.270
47,544.946,821.796
48,854.971,823.103
49,334.618,824.652
50,701.520,824.164
51,1110.856,823.940
52,1603.124,824.270
53,1893.995,824.279
54,230.121,825.240
55,1652.041,825.195
56,1986.625,824.989
57,2423.526,825.133
58,2472.085,824.438
59,11.761,826.552
60,440.834,826.116
61,960.067,826.331
62,1320.223,826.007
63,1354.348,826.209
64,1935.577,826.102
65,657.895,827.663
66,801.949,827.130
67,1044.004,827.460
68,1259.911,826.824
69,2377.577,826.588
70,2517.114,827.056
71,67.799,828.053
72,119.992,827.815
73,172.073,828.082
74,1009.870,827.793
75,1212.982,828.478
76,1408.969,827.671
77,1793.288,827.874
78,387.692,829.320
79,596.965,828.895
80,743.960,828.874
81,1551.199,829.280
82,1747.190,829.359
83,2276.288,828.667
84,1686.016,830.185
85,2181.522,830.249
86,2329.292,829.491
87,1169.289,830.987
88,1830.125,831.561
89,2083.390,831.425
90,281.421,832.540
91,1504.492,831.715
92,2132.694,832.202
93,496.539,832.823
94,893.961,833.588
95,1456.176,833.005
96,2037.252,832.962
97,2219.513,834.041
98,516.698,1297.712
99,860.539,1301.396
100,639.432,1302.274
101,1031.625,1303.583
102,59.339,1304.301
103,469.391,1304.306
104,1245.429,1304.360
105,1577.561,1304.863
106,1685.867,1304.313
107,1796.399,1303.996
108,2502.278,1304.794
109,581.471,1305.646
110,1640.781,1305.643
111,1741.465,1305.141
112,1906.408,1305.646
113,2174.487,1305.114
114,2283.291,1305.786
115,10.541,1306.011
116,184.241,1306.745
117,915.440,1305.860
118,1411.900,1306.577
119,2119.612,1305.922
120,2344.124,1306.246
121,118.517,1307.496
122,692.426,1306.997
123,1355.058,1307.567
124,2228.609,1307.433
125,294.712,1308.757
126,401.033,1308.031
127,806.139,1308.440
128,1139.334,1308.293
129,1190.088,1308.528
130,1957.753,1307.942
131,354.484,1310.168
132,1456.039,1309.444
133,239.182,1310.368
134,750.551,1310.377
135,1079.201,1310.054
136,1519.781,1311.123
137,2011.535,1310.296
138,2441.690,1310.688
139,1302.985,1311.367
140,1852.553,1310.940
141,2069.857,1311.502
142,966.618,1312.717
143,2389.516,1312.624
144,1773.199,1759.310
145,2474.704,1759.088
146,396.826,1760.067
147,2334.129,1759.726
148,597.214,1761.455
149,248.095,1762.003
150,495.435,1762.034
151,1310.534,1762.013
152,1493.818,1761.613
153,1594.629,1762.269
154,1825.625,1762.277
155,201.878,1763.037
156,1919.656,1763.252
157,2380.216,1762.718
158,631.298,1763.503
159,783.381,1763.952
160,297.155,1765.002
161,543.173,1764.912
162,833.873,1765.072
163,1720.551,1764.549
164,40.013,1766.292
165,348.172,1766.301
166,2063.955,1765.511
167,2296.973,1766.209
168,1023.785,1766.422
169,1165.199,1767.040
170,1355.823,1767.139
171,2017.460,1767.113
172,2434.110,1766.786
173,448.605,1768.692
174,690.248,1767.759
175,737.861,1768.450
176,878.825,1768.292
177,928.757,1767.614
178,1402.925,1767.462
179,1640.594,1767.953
180,1687.077,1768.056
181,2106.411,1767.539
182,2248.104,1767.881
183,1114.287,1768.637
184,1214.826,1769.281
185,1257.685,1768.864
186,1964.864,1768.999
187,153.552,1770.562
188,2144.696,1769.553
189,2539.649,1770.571
190,968.035,1770.723
191,1452.467,1770.820
192,1538.985,1770.992
193,1877.475,1770.510
194,2189.883,1771.172
195,1064.922,1772.197
196,97.496,1772.880
